Question,Manual,Consensus_Prediction,Votes,Total_Models,Consensus_Correct,Individual_Correct_Count
1,D,G,2,6,No,1
2,NONE,E,6,6,No,0
3,D,E,6,6,No,0
4,NONE,E,3,6,No,0
5,"D,G","D,E,F",1,6,No,0
6,D,"D,C,E",1,6,No,1
7,D,E,2,6,No,0
8,NONE,E,5,6,No,0
9,"C,D",C,2,6,Yes,2
10,G,"A,B,C,E,G",3,6,No,0
11,D,E,5,6,No,1
12,"A,C,D","A,B,C,D,G",1,6,No,0
13,"C,D","B,C",2,6,No,2
14,NONE,E,6,6,No,0
15,C,"C,E",2,6,No,1
16,"C,D",C,1,6,Yes,1
17,"B,G","C,G",1,6,No,1
18,"C,D","C,D",3,6,No,0
19,D,D,1,6,Yes,1
20,"C,D",E,3,6,No,2
21,D,C,2,6,No,0
22,NONE,E,3,6,No,0
23,G,"A,G",3,6,No,0
24,NONE,E,6,6,No,0
25,C,"C,E",2,6,No,1
26,C,"B,C,E,G",1,6,No,0
27,C,C,2,6,Yes,2
28,"D,F,G","A,B,C,D,E,F,G",2,6,No,0
29,"C,D,E","C,E,G",2,6,No,0
30,NONE,"B,D",2,6,No,0
31,"D,G","D,G",3,6,No,1
32,G,"A,B,G",2,6,No,0
33,G,"C,F",2,6,No,0
34,"C,D","A,C,G",2,6,No,0
35,"C,D,E","D,G,C,E",1,6,No,1
36,"C,D",E,2,6,No,0
37,NONE,E,4,6,No,0
38,"C,D","C,D,G",2,6,No,0
39,NONE,E,5,6,No,0
40,"C,E","A,B,E,G",1,6,No,0
41,"C,D","C,D,G",2,6,No,0
42,D,"A,C,D,E,G",1,6,No,0
43,D,E,6,6,No,0
44,"C,D","C,D,F",2,6,No,0
45,"B,C","A,B,C",3,6,No,0
46,"D,F","D,F",3,6,No,1
47,D,C,2,6,No,0
48,C,"B,C",2,6,No,0
49,"B,C,D","A,B,C,D,G",2,6,No,0
50,"B,C,D,F","B,C,D,F,G",2,6,No,0
51,"C,D,F,G","B,C,F",2,6,No,0
52,D,E,2,6,No,2
53,"C,D",E,5,6,No,1
54,"C,D",D,2,6,Yes,2
55,C,"A,C,D,E,G",2,6,No,0
56,"C,D,G","A,C,D,E",1,6,No,1
57,"C,D,G","D,F,G",2,6,No,0
58,NONE,E,6,6,No,0
59,NONE,E,6,6,No,0
60,"C,D,F",E,2,6,No,0
61,NONE,F,2,6,No,0
62,D,E,4,6,No,2
63,"C,D",E,1,6,No,1
64,NONE,E,6,6,No,0
65,"C,G","F,G",2,6,No,0
66,C,D,3,6,No,0
67,"C,G",G,4,6,Yes,4
68,D,D,3,6,Yes,3
69,"C,G","A,C,E",1,6,No,0
70,NONE,E,5,6,No,0
71,NONE,E,6,6,No,0
72,"C,G",C,2,6,Yes,2
73,"C,D",E,2,6,No,0
74,G,"C,G",2,6,No,1
75,"C,D","A,C,D,E",1,6,No,0
76,"C,G",C,3,6,Yes,3
77,"C,D,F,G","D,E,F,G,C",1,6,No,0
78,"D,G","B,C,D,G",2,6,No,0
79,"C,D,E","A,D",2,6,No,0
80,"C,G",E,2,6,No,0
81,"C,D,G","B,C,D,G",2,6,No,0
82,"C,G",C,3,6,Yes,4
83,G,B,3,6,No,0
84,"B,C,G","A,B",2,6,No,0
85,D,"G,D",1,6,No,0
86,"C,F,G",B,4,6,No,0
87,NONE,E,4,6,No,0
88,NONE,E,6,6,No,0
89,NONE,E,5,6,No,0
90,"C,D,F","D,F",3,6,No,2
91,"D,F",E,2,6,No,2
92,NONE,E,6,6,No,0
93,"C,D,F,G","D,F,G",1,6,No,0
94,"A,B,G","B,C",2,6,No,1
95,"A,B,E,G","A,B,C,E,G",3,6,No,0
96,NONE,E,6,6,No,0
97,"A,C,G",A,2,6,Yes,2
98,"A,C,G","A,B,C,E,G",4,6,No,0
99,C,A,4,6,No,0
100,"B,C,G","B,C,G",1,6,No,0
