Question,Manual,Consensus_Prediction,Votes,Total_Models,Consensus_Correct,Individual_Correct_Count
1,D,C,3,6,No,0
2,NONE,NONE,5,6,Yes,5
3,D,NONE,5,6,No,0
4,NONE,E,2,6,No,1
5,"D,G",F,5,6,No,0
6,D,D,3,6,Yes,3
7,D,C,4,6,No,0
8,NONE,NONE,2,6,Yes,2
9,"C,D",C,3,6,Yes,4
10,G,B,3,6,No,1
11,D,B,2,6,No,2
12,"A,C,D",C,5,6,Yes,6
13,"C,D",C,4,6,Yes,4
14,NONE,NONE,6,6,Yes,6
15,C,C,5,6,Yes,5
16,"C,D",C,6,6,Yes,6
17,"B,G",B,4,6,Yes,5
18,"C,D",C,4,6,Yes,4
19,D,B,3,6,No,2
20,"C,D",E,2,6,No,1
21,D,C,5,6,No,0
22,NONE,C,2,6,No,0
23,G,A,5,6,No,0
24,NONE,NONE,6,6,Yes,6
25,C,C,6,6,Yes,6
26,C,E,3,6,No,2
27,C,C,6,6,Yes,6
28,"D,F,G",B,2,6,No,2
29,"C,D,E",E,4,6,Yes,6
30,NONE,A,2,6,No,1
31,"D,G",G,3,6,Yes,4
32,G,A,3,6,No,0
33,G,C,3,6,No,1
34,"C,D",A,4,6,No,0
35,"C,D,E",E,3,6,Yes,3
36,"C,D",C,4,6,Yes,4
37,NONE,NONE,4,6,Yes,4
38,"C,D",C,4,6,Yes,4
39,NONE,NONE,5,6,Yes,5
40,"C,E",A,3,6,No,1
41,"C,D",G,4,6,No,2
42,D,C,3,6,No,3
43,D,NONE,6,6,No,0
44,"C,D",B,2,6,No,3
45,"B,C",B,5,6,Yes,6
46,"D,F",F,2,6,Yes,4
47,D,C,4,6,No,0
48,C,C,4,6,Yes,4
49,"B,C,D",G,2,6,No,2
50,"B,C,D,F",B,3,6,Yes,6
51,"C,D,F,G",C,4,6,Yes,5
52,D,D,4,6,Yes,4
53,"C,D",NONE,5,6,No,1
54,"C,D",D,4,6,Yes,4
55,C,C,5,6,Yes,5
56,"C,D,G",D,2,6,Yes,4
57,"C,D,G",G,4,6,Yes,6
58,NONE,NONE,6,6,Yes,6
59,NONE,NONE,6,6,Yes,6
60,"C,D,F",F,3,6,Yes,6
61,NONE,B,3,6,No,0
62,D,NONE,5,6,No,1
63,"C,D",B,3,6,No,2
64,NONE,NONE,5,6,Yes,5
65,"C,G",F,4,6,No,1
66,C,NONE,3,6,No,1
67,"C,G",G,4,6,Yes,5
68,D,NONE,4,6,No,2
69,"C,G",E,3,6,No,0
70,NONE,NONE,5,6,Yes,5
71,NONE,NONE,6,6,Yes,6
72,"C,G",C,3,6,Yes,4
73,"C,D",C,3,6,Yes,4
74,G,G,4,6,Yes,4
75,"C,D",A,3,6,No,1
76,"C,G",C,5,6,Yes,5
77,"C,D,F,G",E,4,6,No,2
78,"D,G",B,3,6,No,0
79,"C,D,E",A,4,6,No,2
80,"C,G",G,2,6,Yes,4
81,"C,D,G",B,3,6,No,3
82,"C,G",C,4,6,Yes,4
83,G,B,3,6,No,0
84,"B,C,G",B,6,6,Yes,6
85,D,G,2,6,No,1
86,"C,F,G",B,6,6,No,0
87,NONE,NONE,3,6,Yes,3
88,NONE,NONE,6,6,Yes,6
89,NONE,NONE,5,6,Yes,5
90,"C,D,F",F,3,6,Yes,5
91,"D,F",F,3,6,Yes,5
92,NONE,NONE,6,6,Yes,6
93,"C,D,F,G",G,3,6,Yes,5
94,"A,B,G",B,4,6,Yes,4
95,"A,B,E,G",A,3,6,Yes,5
96,NONE,NONE,5,6,Yes,5
97,"A,C,G",A,5,6,Yes,6
98,"A,C,G",E,3,6,No,2
99,C,A,3,6,No,0
100,"B,C,G",B,4,6,Yes,6
