Question,Manual,Unique_Predictions,Entropy,Normalized_Entropy,Any_Correct,Predictions
1,D,4,1.918,0.742,Yes,"D, G, G, C,D, C,D, E"
2,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
3,D,1,-0.0,-0.0,No,"E, E, E, E, E, E"
4,NONE,4,1.792,0.693,No,"E, E, C,G, D,G, E, E,G"
5,"D,G",6,2.585,1.0,No,"D,E,F, E, B,E,F,G, A,D,F,G, A,F,G, A,E,F,G"
6,D,6,2.585,1.0,Yes,"D,C,E, A, B,C, C,D, D, A,B,C,E,F,G"
7,D,5,2.252,0.871,No,"C,D,F, B,C,E, E, C,F, C, E"
8,NONE,2,0.65,0.251,No,"E, E, E, E, E, A,C,G"
9,"C,D",5,2.252,0.871,Yes,"C, G,A, A, C,D,E, C, B,C"
10,G,4,1.792,0.693,No,"A,B,C,E,G, A,B,C,E, A,B,G, A,B,C,E,G, B,G, A,B,C,E,G"
11,D,2,0.65,0.251,Yes,"E, E, E, D, E, E"
12,"A,C,D",6,2.585,1.0,No,"A,B,C,D,G, A,B,G, A,C,G, A,B,C,D, A,C,D,G, A,B,C,D,E,G"
13,"C,D",4,1.918,0.742,Yes,"F,C, B,C, E, C, C, B,C"
14,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
15,C,5,2.252,0.871,Yes,"C, B,C,E, E,G, C,E, C,E, A,C,E"
16,"C,D",6,2.585,1.0,Yes,"C, B,C,E,G, A,C,E, C,D,E, C,D, A,B,C,E,F,G"
17,"B,G",6,2.585,1.0,Yes,"C,G, A,B, G, B,C, B,G, A,B,G"
18,"C,D",2,1.0,0.387,No,"C,D, E, E, C,D, C,D, E"
19,D,6,2.585,1.0,Yes,"D, E, G, D,G, D,C, D,E"
20,"C,D",4,1.792,0.693,Yes,"B, E, C, D, E, E"
21,D,5,2.252,0.871,No,"C, B,E, E,G, C,D, C, B,C,E"
22,NONE,3,1.459,0.564,No,"A,B,C,G, E, E, C,D, C,D, E"
23,G,4,1.792,0.693,No,"A,C,G, A,G, A,E,G, A,G, A,G, A,B,E,G"
24,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
25,C,5,2.252,0.871,Yes,"C,E, B,C,E, E, C,E, C, A,C,E"
26,C,6,2.585,1.0,No,"B,C,E,G, A,B,C,E,G, C,E,G, A,C,E,G, C,E, A,B,C,E,F,G"
27,C,5,2.252,0.871,Yes,"C,A, A,B,C,D,E, C, A,C,D, C, A,C,E"
28,"D,F,G",5,2.252,0.871,No,"B,C,D,E, A,B,C,D,E,F,G, C,D,G, C,D,E,F, C,D,F,G, A,B,C,D,E,F,G"
29,"C,D,E",5,2.252,0.871,No,"C,E,G, A,B,C,E,G, C,E,G, C,D,E, D,E,G, A,B,C,E,F,G"
30,NONE,4,1.918,0.742,No,"A,C, B,D, E, A, E, B,D"
31,"D,G",4,1.792,0.693,Yes,"D,G, D, G,D, D,G, D,G, A,C,D,E,G"
32,G,5,2.252,0.871,No,"A,B,G, A,B,C,G, A,B,G, B,C, A, A,B,C,E,G"
33,G,5,2.252,0.871,No,"C,F, A,B,E,G, B,G, B,C,F, C,F, A,B,E,F,G"
34,"C,D",5,2.252,0.871,No,"A,C,G, A,B,E, A,D,E,G, A,G, A,C,G, A,B,E,F"
35,"C,D,E",6,2.585,1.0,Yes,"D,G,C,E, A,B,C,E,G, C,E, D,E,G, E,F, E"
36,"C,D",5,2.252,0.871,No,"C,E,G, A,B,C,D,E,G, E, B,C,E, B,C,E,G, E"
37,NONE,2,0.918,0.355,No,"D, E, E, D, E, E"
38,"C,D",4,1.918,0.742,No,"C,D,G, E, E, C,D, C,D,G, A,C,E,G"
39,NONE,2,0.65,0.251,No,"E, B,E,G, E, E, E, E"
40,"C,E",6,2.585,1.0,No,"A,B,E,G, A,B,C,E,G, G, B,C,G, A,B,G, A,B,C,E,F,G"
41,"C,D",5,2.252,0.871,No,"C,D,G, A,B,C,D,E, C,G, C,D,G, D,G, C,D,E,F,G,B,A"
42,D,6,2.585,1.0,No,"A,C,D,E,G, A,B,C,D,E,F,G, A,G, D,F, C,D, A,B,C,D,E,G"
43,D,1,-0.0,-0.0,No,"E, E, E, E, E, E"
44,"C,D",5,2.252,0.871,No,"D,G, A,B,C,D,E, E,G, C,D,F, C,D,F, A,B,C,E,F,G"
45,"B,C",4,1.792,0.693,No,"A,B,C, B,C,G, B,A,C, A,B,C, A,B,C, A,B,C,E,G"
46,"D,F",3,1.459,0.564,Yes,"D,F, E, D, D,F, D,F, E"
47,D,5,2.252,0.871,No,"B,D, E,C,D, C,B, C, C, E"
48,C,5,2.252,0.871,No,"B,C, B,C,E, A,B, B,C, B,G, B,E,G"
49,"B,C,D",5,2.252,0.871,No,"A,B,C,D,G, A,B,D,E, G, A,B,D,G, A,B,C,D,G, A,B,C,E,G"
50,"B,C,D,F",5,2.252,0.871,No,"B,C,D,E,F,G, B,C,E,G, A,B,C,D,F,G, B,C,D,F,G, B,C,D,F,G, A,B,C,E,F,G"
51,"C,D,F,G",5,2.252,0.871,No,"C,B,G,A, A,E,G, C,D,G, B,C,F, B,C,F, B,C,E,F,G"
52,D,4,1.918,0.742,Yes,"D,C, E, E,D, D, D, E"
53,"C,D",2,0.65,0.251,Yes,"E, E, E, D, E, E"
54,"C,D",4,1.918,0.742,Yes,"D, A, D, D,G, E, E"
55,C,4,1.918,0.742,No,"A,C,D,E, A,B,C,D,E, A,C,D,E,G, C,D, C,D, A,C,D,E,G"
56,"C,D,G",6,2.585,1.0,Yes,"A,C,D,E, A,B,E, G,E, C,D,E, D, A,B,C,E,F,G"
57,"C,D,G",5,2.252,0.871,No,"G,D,C, C,D, E, D,F,G, D,F,G, A,B,D,G"
58,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
59,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
60,"C,D,F",5,2.252,0.871,No,"A,C,D,F,G, A,B,C,D,E,F,G, E, A,C,D,F, A,C,E,F, E"
61,NONE,5,2.252,0.871,No,"A, B,C,E, C,F, F, F, B,E,F,G"
62,D,2,0.918,0.355,Yes,"E, E, E, D, D, E"
63,"C,D",6,2.585,1.0,Yes,"E, B,C, C, B,C,D, B,C,G, A,C,E"
64,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
65,"C,G",5,2.252,0.871,No,"C,D,G, B,C,D,E,F,G, F, F,G, F,G, B,C,E,F,G"
66,C,2,1.0,0.387,No,"D, D, E, E, D, E"
67,"C,G",3,1.252,0.484,Yes,"G, A,B,C,G, G, C,G, G, G"
68,D,2,1.0,0.387,Yes,"D, E, E, D, D, E"
69,"C,G",6,2.585,1.0,No,"A,C,E, A,B,G, A,G, E, A,E,G, A,B,E,F,G"
70,NONE,2,0.65,0.251,No,"E, B, E, E, E, E"
71,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
72,"C,G",4,1.918,0.742,Yes,"D,F, C, C, C,D,F, C,D,F, E,G"
73,"C,D",5,2.252,0.871,No,"D,B,C,G, E,F,G, E, C,D,G, A,B,F,G, E"
74,G,5,2.252,0.871,Yes,"A,C,G, A,B,C,E, G, C,G, C,G, A,B,C,E,F,G"
75,"C,D",6,2.585,1.0,No,"A,C,D,E, A,B,D,E,G, A,B,C,E, C,D, A,D, A,B,E,F"
76,"C,G",2,1.0,0.387,Yes,"C, E, E, C, C, E"
77,"C,D,F,G",6,2.585,1.0,No,"D,E,F,G,C, B,C,D,E,F,G, E,G, C,D,E,F, D,E, A,B,E,F,G"
78,"D,G",5,2.252,0.871,No,"C,D, B,C,E,G, A,C,G, B,C,D,G, B,C,D,G, E"
79,"C,D,E",5,2.252,0.871,No,"D,C,A, D,E, A,B,C,E,G, A,D, A,D, A,C,D,E"
80,"C,G",5,2.252,0.871,No,"B,C,D,F,G, E, D,G, C,D,F,G, C,D, E"
81,"C,D,G",5,2.252,0.871,No,"B,C,D,E, A,B,C,D,E,G, F,G, B,C,D,G, B,C,D,G, E"
82,"C,G",4,1.792,0.693,Yes,"C, A,B,E,G, G, C, C, A,C"
83,G,3,1.459,0.564,No,"B, B, A,B, B, A,B, B,G"
84,"B,C,G",5,2.252,0.871,No,"B,C,G, A,B,C,E,G, A,B,G, A,B, A,B, A,B,C,E,F,G"
85,D,6,2.585,1.0,No,"G,D, B,G, C,G, C,D, F,G, G"
86,"C,F,G",3,1.252,0.484,No,"B, B,G, B, B, B, A,B,F"
87,NONE,3,1.252,0.484,No,"E, E, G, E, E, A,C,E,F,G"
88,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
89,NONE,2,0.65,0.251,No,"E, D, E, E, E, E"
90,"C,D,F",3,1.459,0.564,Yes,"D,F, D, D, D,F, D,F, D,E,F,G"
91,"D,F",4,1.918,0.742,Yes,"D,F,G, E, F, D,F, F, E"
92,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
93,"C,D,F,G",6,2.585,1.0,No,"D,F,G, A,B,C, D,E,F, A,F,G, D,F, A,C,E,F,G"
94,"A,B,G",5,2.252,0.871,Yes,"B,C, E, B, B,C, B,C,G, B,G"
95,"A,B,E,G",4,1.792,0.693,No,"B,C,E,G, A,B,C,E,G, A,C,G, A,B,C,E,G, A,B,C,G, A,B,C,E,G"
96,NONE,1,-0.0,-0.0,No,"E, E, E, E, E, E"
97,"A,C,G",5,2.252,0.871,Yes,"A,C,G, A,B,E,G, A,G, A, A, A,B,E"
