Question,Manual,Unique_Predictions,Entropy,Normalized_Entropy,Any_Correct,Predictions
1,D,4,1.792,0.693,No,"NONE, C, G, C, C, A"
2,NONE,2,0.65,0.251,Yes,"NONE, B, NONE, NONE, NONE, NONE"
3,D,2,0.65,0.251,No,"NONE, B, NONE, NONE, NONE, NONE"
4,NONE,5,2.252,0.871,Yes,"E, B, E, D, NONE, C"
5,"D,G",2,0.65,0.251,No,"F, NONE, F, F, F, F"
6,D,2,1.0,0.387,Yes,"D, B, B, D, D, B"
7,D,2,0.918,0.355,No,"C, NONE, C, C, NONE, C"
8,NONE,4,1.918,0.742,Yes,"NONE, C, G, NONE, B, B"
9,"C,D",4,1.792,0.693,Yes,"C, NONE, G, D, C, C"
10,G,4,1.792,0.693,Yes,"E, C, G, B, B, B"
11,D,4,1.918,0.742,Yes,"C, B, NONE, D, D, B"
12,"A,C,D",2,0.65,0.251,Yes,"D, C, C, C, C, C"
13,"C,D",3,1.252,0.484,Yes,"C, NONE, B, C, C, C"
14,NONE,1,-0.0,-0.0,Yes,"NONE, NONE, NONE, NONE, NONE, NONE"
15,C,2,0.65,0.251,Yes,"C, E, C, C, C, C"
16,"C,D",1,-0.0,-0.0,Yes,"C, C, C, C, C, C"
17,"B,G",3,1.252,0.484,Yes,"B, A, G, B, B, B"
18,"C,D",2,0.918,0.355,Yes,"C, NONE, C, C, C, NONE"
19,D,3,1.459,0.564,Yes,"C, B, B, D, D, B"
20,"C,D",5,2.252,0.871,Yes,"E, B, E, D, NONE, A"
21,D,2,0.65,0.251,No,"C, C, E, C, C, C"
22,NONE,4,1.918,0.742,No,"C, E, E, C, D, B"
23,G,2,0.65,0.251,No,"A, B, A, A, A, A"
24,NONE,1,-0.0,-0.0,Yes,"NONE, NONE, NONE, NONE, NONE, NONE"
25,C,1,-0.0,-0.0,Yes,"C, C, C, C, C, C"
26,C,3,1.459,0.564,Yes,"C, B, E, E, C, E"
27,C,1,-0.0,-0.0,Yes,"C, C, C, C, C, C"
28,"D,F,G",3,1.585,0.613,Yes,"B, B, C, D, D, C"
29,"C,D,E",2,0.918,0.355,Yes,"E, C, E, E, C, E"
30,NONE,4,1.918,0.742,Yes,"A, B, E, A, NONE, B"
31,"D,G",3,1.459,0.564,Yes,"D, B, G, G, G, B"
32,G,3,1.459,0.564,No,"C, B, A, C, A, A"
33,G,4,1.792,0.693,Yes,"A, B, C, C, C, G"
34,"C,D",3,1.252,0.484,No,"A, B, G, A, A, A"
35,"C,D,E",4,1.792,0.693,Yes,"G, NONE, E, E, E, A"
36,"C,D",2,0.918,0.355,Yes,"C, B, C, C, C, B"
37,NONE,2,0.918,0.355,Yes,"NONE, NONE, NONE, D, D, NONE"
38,"C,D",3,1.252,0.484,Yes,"C, B, C, C, C, A"
39,NONE,2,0.65,0.251,Yes,"NONE, F, NONE, NONE, NONE, NONE"
40,"C,E",4,1.792,0.693,Yes,"A, B, G, C, A, A"
41,"C,D",2,0.918,0.355,Yes,"G, G, G, C, G, C"
42,D,2,1.0,0.387,Yes,"C, C, D, D, D, C"
43,D,1,-0.0,-0.0,No,"NONE, NONE, NONE, NONE, NONE, NONE"
44,"C,D",4,1.918,0.742,Yes,"D, B, G, C, C, B"
45,"B,C",2,0.65,0.251,Yes,"B, B, B, C, B, B"
46,"D,F",4,1.918,0.742,Yes,"F, B, D, D, F, C"
47,D,3,1.252,0.484,No,"NONE, C, A, C, C, C"
48,C,2,0.918,0.355,Yes,"C, B, C, C, C, B"
49,"B,C,D",5,2.252,0.871,Yes,"A, E, C, G, G, B"
50,"B,C,D,F",3,1.459,0.564,Yes,"B, B, F, C, C, B"
51,"C,D,F,G",3,1.252,0.484,Yes,"C, B, G, C, C, C"
52,D,2,0.918,0.355,Yes,"C, C, D, D, D, D"
53,"C,D",2,0.65,0.251,Yes,"NONE, NONE, NONE, D, NONE, NONE"
54,"C,D",3,1.252,0.484,Yes,"D, B, D, D, NONE, D"
55,C,2,0.65,0.251,Yes,"C, C, C, C, C, A"
56,"C,D,G",4,1.918,0.742,Yes,"D, B, G, D, C, B"
57,"C,D,G",2,0.918,0.355,Yes,"G, C, G, G, G, C"
58,NONE,1,-0.0,-0.0,Yes,"NONE, NONE, NONE, NONE, NONE, NONE"
59,NONE,1,-0.0,-0.0,Yes,"NONE, NONE, NONE, NONE, NONE, NONE"
60,"C,D,F",2,1.0,0.387,Yes,"F, C, F, C, C, F"
61,NONE,3,1.459,0.564,No,"A, B, B, F, F, B"
62,D,2,0.65,0.251,Yes,"NONE, NONE, NONE, D, NONE, NONE"
63,"C,D",3,1.459,0.564,Yes,"NONE, B, B, B, C, C"
64,NONE,2,0.65,0.251,Yes,"NONE, NONE, NONE, C, NONE, NONE"
65,"C,G",3,1.252,0.484,Yes,"G, B, F, F, F, F"
66,C,4,1.792,0.693,Yes,"NONE, B, NONE, C, E, NONE"
67,"C,G",3,1.252,0.484,Yes,"G, NONE, G, C, G, G"
68,D,2,0.918,0.355,Yes,"NONE, NONE, NONE, D, D, NONE"
69,"C,G",3,1.459,0.564,No,"E, B, A, E, E, A"
70,NONE,2,0.65,0.251,Yes,"NONE, NONE, NONE, NONE, NONE, B"
71,NONE,1,-0.0,-0.0,Yes,"NONE, NONE, NONE, NONE, NONE, NONE"
72,"C,G",4,1.792,0.693,Yes,"F, C, G, D, C, C"
73,"C,D",4,1.792,0.693,Yes,"C, F, C, D, C, B"
74,G,3,1.252,0.484,Yes,"G, G, G, G, C, A"
75,"C,D",4,1.792,0.693,Yes,"A, B, E, D, A, A"
76,"C,G",2,0.65,0.251,Yes,"C, B, C, C, C, C"
77,"C,D,F,G",2,0.918,0.355,Yes,"E, C, E, C, E, E"
78,"D,G",3,1.459,0.564,No,"B, B, C, B, C, A"
79,"C,D,E",3,1.252,0.484,Yes,"C, A, A, D, A, A"
80,"C,G",4,1.918,0.742,Yes,"G, NONE, G, C, C, B"
81,"C,D,G",2,1.0,0.387,Yes,"B, B, C, C, C, B"
82,"C,G",3,1.252,0.484,Yes,"C, A, B, C, C, C"
83,G,3,1.459,0.564,No,"A, C, B, B, A, B"
84,"B,C,G",1,-0.0,-0.0,Yes,"B, B, B, B, B, B"
85,D,4,1.918,0.742,Yes,"G, B, C, D, G, B"
86,"C,F,G",1,-0.0,-0.0,No,"B, B, B, B, B, B"
87,NONE,4,1.792,0.693,Yes,"NONE, B, G, NONE, NONE, A"
88,NONE,1,-0.0,-0.0,Yes,"NONE, NONE, NONE, NONE, NONE, NONE"
89,NONE,2,0.65,0.251,Yes,"NONE, C, NONE, NONE, NONE, NONE"
90,"C,D,F",4,1.792,0.693,Yes,"F, B, D, F, F, C"
91,"D,F",3,1.459,0.564,Yes,"D, B, F, D, F, F"
92,NONE,1,-0.0,-0.0,Yes,"NONE, NONE, NONE, NONE, NONE, NONE"
93,"C,D,F,G",4,1.792,0.693,Yes,"G, B, D, G, G, C"
94,"A,B,G",2,0.918,0.355,Yes,"B, B, B, C, C, B"
95,"A,B,E,G",3,1.459,0.564,Yes,"A, B, C, B, A, A"
96,NONE,2,0.65,0.251,Yes,"NONE, B, NONE, NONE, NONE, NONE"
