Model,Category,Category_Name,Label_Type,Total_Samples,Correct,False_Positive,False_Negative,Recall,Precision,F1_Score
anthropic_claude-sonnet-4.5,A,Loop Condition,single,5,2,9,3,40.0,18.181818181818183,25.000000000000007
anthropic_claude-sonnet-4.5,B,Condition Branch,single,9,7,3,2,77.77777777777779,70.0,73.68421052631578
anthropic_claude-sonnet-4.5,C,Statement Integrity,single,50,18,8,32,36.0,69.23076923076923,47.368421052631575
anthropic_claude-sonnet-4.5,D,I/O Format,single,49,7,0,42,14.285714285714285,100.0,25.0
anthropic_claude-sonnet-4.5,E,Variable Init,single,5,1,5,4,20.0,16.666666666666664,18.18181818181818
anthropic_claude-sonnet-4.5,F,Data Type,single,10,3,2,7,30.0,60.0,40.0
anthropic_claude-sonnet-4.5,G,Computation,single,31,6,4,25,19.35483870967742,60.0,29.268292682926827
anthropic_claude-sonnet-4.5,NONE,No Error,single,20,16,9,4,80.0,64.0,71.11111111111111
deepseek_deepseek-v3.2,A,Loop Condition,single,5,0,3,5,0.0,0.0,0.0
deepseek_deepseek-v3.2,B,Condition Branch,single,9,7,40,2,77.77777777777779,14.893617021276595,25.0
deepseek_deepseek-v3.2,C,Statement Integrity,single,50,11,9,39,22.0,55.00000000000001,31.428571428571427
deepseek_deepseek-v3.2,D,I/O Format,single,49,0,0,49,0.0,0.0,0.0
deepseek_deepseek-v3.2,E,Variable Init,single,5,0,3,5,0.0,0.0,0.0
deepseek_deepseek-v3.2,F,Data Type,single,10,0,2,10,0.0,0.0,0.0
deepseek_deepseek-v3.2,G,Computation,single,31,1,1,30,3.225806451612903,50.0,6.0606060606060606
deepseek_deepseek-v3.2,NONE,No Error,single,20,10,13,10,50.0,43.47826086956522,46.51162790697674
google_gemini-2.5-flash,A,Loop Condition,single,5,1,5,4,20.0,16.666666666666664,18.18181818181818
google_gemini-2.5-flash,B,Condition Branch,single,9,4,7,5,44.44444444444444,36.36363636363637,40.0
google_gemini-2.5-flash,C,Statement Integrity,single,50,15,6,35,30.0,71.42857142857143,42.25352112676056
google_gemini-2.5-flash,D,I/O Format,single,49,6,0,43,12.244897959183673,100.0,21.81818181818182
google_gemini-2.5-flash,E,Variable Init,single,5,2,9,3,40.0,18.181818181818183,25.000000000000007
google_gemini-2.5-flash,F,Data Type,single,10,3,2,7,30.0,60.0,40.0
google_gemini-2.5-flash,G,Computation,single,31,10,9,21,32.25806451612903,52.63157894736842,40.0
google_gemini-2.5-flash,NONE,No Error,single,20,14,7,6,70.0,66.66666666666666,68.29268292682926
openai_gpt-5.2,A,Loop Condition,single,5,1,4,4,20.0,20.0,20.000000000000004
openai_gpt-5.2,B,Condition Branch,single,9,5,4,4,55.55555555555556,55.55555555555556,55.55555555555556
openai_gpt-5.2,C,Statement Integrity,single,50,25,9,25,50.0,73.52941176470588,59.523809523809526
openai_gpt-5.2,D,I/O Format,single,49,19,3,30,38.775510204081634,86.36363636363636,53.521126760563384
openai_gpt-5.2,E,Variable Init,single,5,2,3,3,40.0,40.0,40.00000000000001
openai_gpt-5.2,F,Data Type,single,10,1,3,9,10.0,25.0,14.285714285714288
openai_gpt-5.2,G,Computation,single,31,4,1,27,12.903225806451612,80.0,22.22222222222222
openai_gpt-5.2,NONE,No Error,single,20,14,2,6,70.0,87.5,77.77777777777777
openai_gpt-oss-120b,A,Loop Condition,single,5,2,8,3,40.0,20.0,26.666666666666668
openai_gpt-oss-120b,B,Condition Branch,single,9,4,2,5,44.44444444444444,66.66666666666666,53.333333333333336
openai_gpt-oss-120b,C,Statement Integrity,single,50,27,7,23,54.0,79.41176470588235,64.28571428571429
openai_gpt-oss-120b,D,I/O Format,single,49,7,2,42,14.285714285714285,77.77777777777779,24.137931034482758
openai_gpt-oss-120b,E,Variable Init,single,5,1,4,4,20.0,20.0,20.000000000000004
openai_gpt-oss-120b,F,Data Type,single,10,3,3,7,30.0,50.0,37.49999999999999
openai_gpt-oss-120b,G,Computation,single,31,4,3,27,12.903225806451612,57.14285714285714,21.05263157894737
openai_gpt-oss-120b,NONE,No Error,single,20,16,7,4,80.0,69.56521739130434,74.4186046511628
qwen_qwen3-coder,A,Loop Condition,single,5,3,16,2,60.0,15.789473684210526,25.0
qwen_qwen3-coder,B,Condition Branch,single,9,8,19,1,88.88888888888889,29.629629629629626,44.44444444444444
qwen_qwen3-coder,C,Statement Integrity,single,50,16,7,34,32.0,69.56521739130434,43.83561643835616
qwen_qwen3-coder,D,I/O Format,single,49,2,0,47,4.081632653061225,100.0,7.84313725490196
qwen_qwen3-coder,E,Variable Init,single,5,1,2,4,20.0,33.33333333333333,25.0
qwen_qwen3-coder,F,Data Type,single,10,2,2,8,20.0,50.0,28.571428571428577
qwen_qwen3-coder,G,Computation,single,31,2,0,29,6.451612903225806,100.0,12.121212121212121
qwen_qwen3-coder,NONE,No Error,single,20,13,7,7,65.0,65.0,65.0
anthropic_claude-sonnet-4.5,A,Loop Condition,multi,5,3,21,2,60.0,12.5,20.689655172413794
anthropic_claude-sonnet-4.5,B,Condition Branch,multi,9,8,16,1,88.88888888888889,33.33333333333333,48.484848484848484
anthropic_claude-sonnet-4.5,C,Statement Integrity,multi,50,38,16,12,76.0,70.37037037037037,73.07692307692308
anthropic_claude-sonnet-4.5,D,I/O Format,multi,49,34,6,15,69.38775510204081,85.0,76.40449438202246
anthropic_claude-sonnet-4.5,E,Variable Init,multi,5,4,38,1,80.0,9.523809523809524,17.02127659574468
anthropic_claude-sonnet-4.5,F,Data Type,multi,10,7,6,3,70.0,53.84615384615385,60.8695652173913
anthropic_claude-sonnet-4.5,G,Computation,multi,31,18,18,13,58.06451612903226,50.0,53.7313432835821
anthropic_claude-sonnet-4.5,NONE,No Error,multi,20,0,0,20,0.0,0.0,0.0
deepseek_deepseek-v3.2,A,Loop Condition,multi,5,4,33,1,80.0,10.81081081081081,19.047619047619047
deepseek_deepseek-v3.2,B,Condition Branch,multi,9,8,44,1,88.88888888888889,15.384615384615385,26.22950819672132
deepseek_deepseek-v3.2,C,Statement Integrity,multi,50,27,10,23,54.0,72.97297297297297,62.06896551724138
deepseek_deepseek-v3.2,D,I/O Format,multi,49,15,6,34,30.612244897959183,71.42857142857143,42.857142857142854
deepseek_deepseek-v3.2,E,Variable Init,multi,5,5,70,0,100.0,6.666666666666667,12.5
deepseek_deepseek-v3.2,F,Data Type,multi,10,3,3,7,30.0,50.0,37.49999999999999
deepseek_deepseek-v3.2,G,Computation,multi,31,17,17,14,54.83870967741935,50.0,52.307692307692314
deepseek_deepseek-v3.2,NONE,No Error,multi,20,0,0,20,0.0,0.0,0.0
google_gemini-2.5-flash,A,Loop Condition,multi,5,4,18,1,80.0,18.181818181818183,29.629629629629626
google_gemini-2.5-flash,B,Condition Branch,multi,9,6,11,3,66.66666666666666,35.294117647058826,46.15384615384615
google_gemini-2.5-flash,C,Statement Integrity,multi,50,17,8,33,34.0,68.0,45.33333333333334
google_gemini-2.5-flash,D,I/O Format,multi,49,10,2,39,20.408163265306122,83.33333333333334,32.78688524590165
google_gemini-2.5-flash,E,Variable Init,multi,5,3,49,2,60.0,5.769230769230769,10.526315789473685
google_gemini-2.5-flash,F,Data Type,multi,10,3,4,7,30.0,42.857142857142854,35.29411764705882
google_gemini-2.5-flash,G,Computation,multi,31,23,19,8,74.19354838709677,54.761904761904766,63.01369863013699
google_gemini-2.5-flash,NONE,No Error,multi,20,0,0,20,0.0,0.0,0.0
openai_gpt-5.2,A,Loop Condition,multi,5,4,14,1,80.0,22.22222222222222,34.78260869565218
openai_gpt-5.2,B,Condition Branch,multi,9,9,13,0,100.0,40.909090909090914,58.06451612903226
openai_gpt-5.2,C,Statement Integrity,multi,50,34,16,16,68.0,68.0,68.0
openai_gpt-5.2,D,I/O Format,multi,49,40,7,9,81.63265306122449,85.1063829787234,83.33333333333334
openai_gpt-5.2,E,Variable Init,multi,5,3,30,2,60.0,9.090909090909092,15.789473684210526
openai_gpt-5.2,F,Data Type,multi,10,9,11,1,90.0,45.0,60.0
openai_gpt-5.2,G,Computation,multi,31,14,11,17,45.16129032258064,56.00000000000001,50.0
openai_gpt-5.2,NONE,No Error,multi,20,0,0,20,0.0,0.0,0.0
openai_gpt-oss-120b,A,Loop Condition,multi,5,4,15,1,80.0,21.052631578947366,33.33333333333333
openai_gpt-oss-120b,B,Condition Branch,multi,9,9,11,0,100.0,45.0,62.06896551724138
openai_gpt-oss-120b,C,Statement Integrity,multi,50,27,13,23,54.0,67.5,60.00000000000001
openai_gpt-oss-120b,D,I/O Format,multi,49,28,5,21,57.14285714285714,84.84848484848484,68.29268292682927
openai_gpt-oss-120b,E,Variable Init,multi,5,2,31,3,40.0,6.0606060606060606,10.526315789473685
openai_gpt-oss-120b,F,Data Type,multi,10,8,10,2,80.0,44.44444444444444,57.14285714285714
openai_gpt-oss-120b,G,Computation,multi,31,16,13,15,51.61290322580645,55.172413793103445,53.333333333333336
openai_gpt-oss-120b,NONE,No Error,multi,20,0,0,20,0.0,0.0,0.0
qwen_qwen3-coder,A,Loop Condition,multi,5,4,40,1,80.0,9.090909090909092,16.3265306122449
qwen_qwen3-coder,B,Condition Branch,multi,9,9,32,0,100.0,21.951219512195124,36.0
qwen_qwen3-coder,C,Statement Integrity,multi,50,26,11,24,52.0,70.27027027027027,59.77011494252874
qwen_qwen3-coder,D,I/O Format,multi,49,9,2,40,18.367346938775512,81.81818181818183,30.0
qwen_qwen3-coder,E,Variable Init,multi,5,5,83,0,100.0,5.681818181818182,10.75268817204301
qwen_qwen3-coder,F,Data Type,multi,10,7,19,3,70.0,26.923076923076923,38.88888888888889
qwen_qwen3-coder,G,Computation,multi,31,24,22,7,77.41935483870968,52.17391304347826,62.337662337662344
qwen_qwen3-coder,NONE,No Error,multi,20,0,0,20,0.0,0.0,0.0
