model,run,case_a_precision_mean,case_a_precision_std,case_b_recall_mean,case_b_recall_std,case_c_any_overlap_mean,case_c_any_overlap_std,case_d_jaccard_mean,case_d_jaccard_std,exact_match_mean,exact_match_std,exact_match_sum,exact_match_count
anthropic_claude-sonnet-4.5,results_run1,0.3077,0.466,0.4231,0.4989,0.9231,0.2691,0.5151,0.2768,0.1346,0.3446,7,52
anthropic_claude-sonnet-4.5,results_run2,0.3462,0.4804,0.3462,0.4804,0.9423,0.2354,0.5067,0.2399,0.0962,0.2977,5,52
deepseek_deepseek-v3.2,results_run1,0.1154,0.3226,0.2692,0.4479,0.7115,0.4575,0.2873,0.2344,0.0,0.0,0,52
deepseek_deepseek-v3.2,results_run2,0.1538,0.3643,0.2692,0.4479,0.6923,0.466,0.3205,0.2886,0.0385,0.1942,2,52
google_gemini-2.5-flash,results_run1,0.3269,0.4737,0.0769,0.2691,0.7308,0.4479,0.3292,0.2531,0.0192,0.1387,1,52
google_gemini-2.5-flash,results_run2,0.25,0.4372,0.1346,0.3446,0.7308,0.4479,0.3202,0.2632,0.0385,0.1942,2,52
openai_gpt-5.2,results_run1,0.3077,0.466,0.4615,0.5034,0.9615,0.1942,0.5606,0.2609,0.1538,0.3643,8,52
openai_gpt-5.2,results_run2,0.3269,0.4737,0.4423,0.5015,0.9615,0.1942,0.5506,0.2561,0.1538,0.3643,8,52
openai_gpt-oss-120b,results_run1,0.3269,0.4737,0.2885,0.4575,0.9038,0.2977,0.4657,0.2722,0.0962,0.2977,5,52
openai_gpt-oss-120b,results_run2,0.3846,0.4913,0.2885,0.4575,0.9038,0.2977,0.4848,0.2725,0.1154,0.3226,6,52
qwen_qwen3-coder,results_run1,0.0577,0.2354,0.2308,0.4254,0.7115,0.4575,0.2792,0.2241,0.0,0.0,0,52
qwen_qwen3-coder,results_run2,0.0962,0.2977,0.25,0.4372,0.8077,0.398,0.3028,0.2354,0.0192,0.1387,1,52
