Sr. no.,final_categories
1,['D']
2,['NONE']
3,['D']
4,['NONE']
5,"['D', 'G']"
6,['D']
7,['D']
8,['NONE']
9,"['C', 'D']"
10,['G']
11,['D']
12,"['A', 'C', 'D']"
13,"['C', 'D']"
14,['NONE']
15,['C']
16,"['C', 'D']"
17,"['B', 'G']"
18,"['C', 'D']"
19,['D']
20,"['C', 'D']"
21,['D']
22,['NONE']
23,['G']
24,['NONE']
25,['C']
26,['C']
27,['C']
28,"['D', 'F', 'G']"
29,"['C', 'D', 'E']"
30,['NONE']
31,"['D', 'G']"
32,['G']
33,['G']
34,"['C', 'D']"
35,"['C', 'D', 'E']"
36,"['C', 'D']"
37,['NONE']
38,"['C', 'D']"
39,['NONE']
40,"['C', 'E']"
41,"['C', 'D']"
42,['D']
43,['D']
44,"['C', 'D']"
45,"['B', 'C']"
46,"['D', 'F']"
47,['D']
48,['C']
49,"['B', 'C', 'D']"
50,"['B', 'C', 'D', 'F']"
51,"['C', 'D', 'F', 'G']"
52,['D']
53,"['C', 'D']"
54,"['C', 'D']"
55,['C']
56,"['C', 'D', 'G']"
57,"['C', 'D', 'G']"
58,['NONE']
59,['NONE']
60,"['C', 'D', 'F']"
61,['NONE']
62,['D']
63,"['C', 'D']"
64,['NONE']
65,"['C', 'G']"
66,['C']
67,"['C', 'G']"
68,['D']
69,"['C', 'G']"
70,['NONE']
71,['NONE']
72,"['C', 'G']"
73,"['C', 'D']"
74,['G']
75,"['C', 'D']"
76,"['C', 'G']"
77,"['C', 'D', 'F', 'G']"
78,"['D', 'G']"
79,"['C', 'D', 'E']"
80,"['C', 'G']"
81,"['C', 'D', 'G']"
82,"['C', 'G']"
83,['G']
84,"['B', 'C', 'G']"
85,['D']
86,"['B', 'F', 'G']"
87,['NONE']
88,['NONE']
89,['NONE']
90,"['C', 'D', 'F']"
91,"['D', 'F']"
92,['NONE']
93,"['C', 'D', 'F', 'G']"
94,"['A', 'B', 'G']"
95,"['A', 'B', 'E', 'G']"
96,['NONE']
97,"['A', 'C', 'G']"
98,"['A', 'C', 'G']"
99,['C']
100,"['B', 'C', 'G']"
