Sr. no.,question__description,answer,gpt-5.2,,claude-sonnet-4.5,,gemini-2.5-flash,,deepseek-v3.2,,qwen3-coder,,gpt-oss-120b,
1,"Write a Function <b>num_square</b> to find the square of a number.
</br>
For Example
<pre>
>>> num_square(2)
>>> 4
</pre>
In the above example parameter given to function 
<b>num_square</b> is <b> 2 </b> and return value obtained is <b> 4. </b> 
</br>
<b>Note:</b>
<ul>
<li>
Your Function should <b>Return</b> the final value.
</li>
<li>
Your Function should <b>NOT Print </b> any value.
</li>
<li>
Your Function name should be <b>num_square.</b>
</li>
</ul>","
  
# Simple solution to 
# calculate square without 
# using * and pow() 
  
def square(n): 
  
    # handle negative input 
    if (n < 0): 
        n = -n 
      
    # Initialize result 
    res = n 
      
    # Add n to res n-1 times 
    for i in range(1, n): 
        res += n 
      
    return res 
  
  
# Driver Code 
for n in range(1, 6): 
    print(""n ="", n , end="", "") 
    print(""n^2 ="", square(n)) 
  
# This code is contributed by 
# Smitha Dinesh Semwal 
",J,I,I,I,I,I,I,J,J,I,I,I
2,"You are given date strings of the form “29 Jul, 2009”, or
“4 Jan 2008”. 
<br>
In other words a number, a string
and another number, with a comma sometimes
separating the items.
<br>
Write a Python Script that takes such a string as input and
prints a tuple (yyyy, mm, dd) where all three elements
are ints.
<br>
<br>
Example
<pre>
Input
29 Jan, 2008

Output
(2008, 1, 29)
</pre>","
import datetime
def convert_date_string_to_tuple(date_string):
  """"""
  Converts a date string to a tuple of integers (yyyy, mm, dd).
  Args:
    date_string: A string representing a date, e.g., ""29 Jul, 2009"" or ""4 Jan 2008"".
  Returns:
    A tuple of integers in the format (year, month, day).
  """"""
  # The try-except block handles the two possible date formats.
  # It first tries to parse the date string assuming it contains a comma.
  try:
    # Format for dates like ""29 Jul, 2009""
    date_obj = datetime.datetime.strptime(date_string, ""%d %b, %Y"")
  except ValueError:
    # If the first format fails (e.g., no comma), it tries the second format.
    # Format for dates like ""4 Jan 2008""
    date_obj = datetime.datetime.strptime(date_string, ""%d %b %Y"")
  
  # Create a tuple with the year, month, and day from the datetime object.
  date_tuple = (date_obj.year, date_obj.month, date_obj.day)
  
  return date_tuple
# --- Main execution ---
# Get the date string from user input.
input_date_str = input()
# Call the function to perform the conversion.
result_tuple = convert_date_string_to_tuple(input_date_str)
# Print the final result.
print(result_tuple)
    ",N,N,N,N,N,J,N,J,N,N,N,N
3,"Define a function called <code>largest</code> which takes a
single argument.
<br/>
The argument passed will be an opened file object.
<br/>
Read the data in the file.
Assume that the data is separated by spaces and
are all numbers
<br/>
Return the maximum value in the file.
<br/>
Do not use loadtxt!","
import requests

def download_file(url, filename):
    response = requests.get(url)
    if response.status_code == 200:
        with open(filename, 'wb') as f:
            f.write(response.content)
    else:
        print(f""Failed to download {filename}. Status code: {response.status_code}"")

def largest(file):
    # Read the contents of the file
    data = file.read()
    
    # Split the data into a list of strings and convert them to floats
    numbers = [float(num) for num in data.split()]
    
    # Return the maximum value from the list of numbers
    return max(numbers)

# Example usage:
if __name__ == ""__main__"":
    # URLs of the files to download
    urls = [
        'http://127.0.0.1:8000/data/question_1290/demo.txt',
        'http://127.0.0.1:8000/data/question_1290/demo1.txt',
        'http://127.0.0.1:8000/data/question_1290/demo2.txt'
    ]
    
    # Download the files
    for url in urls:
        filename = url.split('/')[-1]  # Get the filename from the URL
        download_file(url, filename)

    # Now read the downloaded files and find the largest number
    for filename in ['demo.txt', 'demo1.txt', 'demo2.txt']:
        try:
            with open(filename, 'r') as f:
                max_value = largest(f)
                print(f""The largest number in {filename} is: {max_value}"")
        except FileNotFoundError:
            print(f""File {filename} not found."")",J,N,J,N,N,N,J,N,N,N,N,N
4,"Write a Python script which accept sequence of numbers <b>(separated by spaces)</b> as user input <b>(Please do not add any prompt while taking input)</b>
<br/>
Print the sum of odd numbers in the sequence and print the product of even numbers in the sequence.
<br>
For Example:-
<pre>
Input
1 2 3 4 5

Output
9 8
</pre>

<b>Note :- First value to be printed is sum of odd numbers and second value to be printed is product of even numbers.</b>","
   def process_sequence():
  """"""
  Accepts a sequence of numbers (separated by spaces), 
  calculates the sum of odd numbers and the product of even numbers, 
  and prints the results.
  """"""
  try:
    sequence = input()
    numbers = [int(x) for x in sequence.split()]
  except ValueError:
    print(""Invalid input. Please enter numbers separated by spaces."")
    return

  sum_odd = 0
  product_even = 1
  has_even = False

  for number in numbers:
    if number % 2 == 0:
      product_even *= number
      has_even = True
    else:
      sum_odd += number

  if not has_even:
    product_even = 0

  print(sum_odd, product_even)

process_sequence()",D,D,E,N,D,D,G,D,D,D,N,N
5,"
Write a function called <code>is_armstrong(x)</code> which is given an
n-digit integer (n>1) and returns <code>True</code> or <code>False</code> if
it is an Armstrong number. For a two digit number, it is an armstrong if the
number equals the sum of the squares of its digits. For a three digit number
it is armstrong if it is the cube of its digits.  For example:
<br/><br/>
<pre>
>>> is_armstrong(123)
False
>>> is_armstrong(153)
True
</pre>
","
# Python program to determine whether the number is 
# Armstrong number or not 
  
# Function to calculate x raised to the power y 
def power(x, y): 
    if y==0: 
        return 1
    if y%2==0: 
        return power(x, y/2)*power(x, y/2) 
    return x*power(x, y/2)*power(x, y/2) 
  
# Function to calculate order of the number 
def order(x): 
  
    # variable to store of the number 
    n = 0
    while (x!=0): 
        n = n+1
        x = x/10
    return n 
  
# Function to check whether the given number is 
# Armstrong number or not 
def is_armstrong (x): 
    n = order(x) 
    temp = x 
    sum1 = 0
    while (temp!=0): 
        r = temp%10
        sum1 = sum1 + pow(r, n) 
        temp = temp/10
  
    # If condition satisfies 
    return (sum1 == x) 
while True:
    try:
        a = input()
        print(is_armstrong(a)) 
    except EOFError:
        print (""EOFError"")
        break
",D,A,A,A,I,D,D,C,D,D,A,G
6,"Write a function <code>caesar_cipher</code> which takes arguments <code>text</code> and  <code>shift</code>. <code>text</code> is an all <b>lowercase</b> string that has to be encrypted. <code>shift</code> is an integer which  indicates the number of position each letter of the <b>text</b> that has to be moved down to. The function <code>caesar_cipher</code> should return the encrypted text.
<br>
<b>For example -</b>
<pre>
For:
<code><b>>>> caesar_cipher(""abcd"", 1)</b></code>
Output should be:
<b>>>> bcde</b>

For:
<code><b>>>> caesar_cipher(""wxyz"", 2)</b></code>
Output should be:
<b>>>> yzab</b>

For:
<code><b>>>> caesar_cipher(""mnop"", 14)</b></code>
Output should be:
<b>>>> abcd</b>


For:
<code><b>>>> caesar_cipher(""bbbb"", 26)</b></code>
Output should be:
<b>>>> bbbb</b>
</pre>

<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","
#A python program to illustrate Caesar Cipher Technique 
def encrypt(text,s): 
    result = """" 
  
    # traverse text 
    for i in range(len(text)): 
        char = text[i] 
  
        # Encrypt uppercase characters 
        if (char.isupper()): 
            result += chr((ord(char) + s-65) % 26 + 65) 
  
        # Encrypt lowercase characters 
        else: 
            result += chr((ord(char) + s - 97) % 26 + 97) 
  
    return result 
  
#check the above function 
text = ""ATTACKATONCE""
s = 4
print ""Text  : "" + text 
print ""Shift : "" + str(s) 
print ""Cipher: "" + encrypt(text,s) 
",J,J,I,I,J,J,J,J,J,J,B,B
7,"We are given a list called <b>student_data</b>, consisting of dictionaries,  with each dictionary having two keys, “name” which is a string and “rollno” which is an integer.
<br>
Write a function <code><b>sort_dict(student_data)</b></code>, which returns a new list sorted by roll number.
<br>
<b>For e.g. - </b>
For <code> student_data = [{""name"": ""a"", ""rollno"": 3}, {""name"": ""b"", ""rollno"": 2}, 
{""name"": ""c"", ""rollno"": 1}]</code> should return as
<br> <code>[{'name': 'c', 'rollno': 1}, {'name': 'b', 'rollno': 2}, {'name': 'a', 'rollno': 3}]</code>.
</p>","
class Student:


        def __init__(self, name, rollno, m1, m2):
                self.name = name
                self.rollno = rollno
                self.m1 = m1
                self.m2 = m2

        # Function to create and append new student
        def accept(self, Name, Rollno, marks1, marks2):


                ob = Student(Name, Rollno, marks1, marks2)
                ls.append(ob)

        
        def display(self, ob):
                print(""Name : "", ob.name)
                print(""RollNo : "", ob.rollno)
                print(""Marks1 : "", ob.m1)
                print(""Marks2 : "", ob.m2)
                print(""\n"")

        
        def search(self, rn):
                for i in range(ls.__len__()):
                        if(ls[i].rollno == rn):
                                return i

        
        def delete(self, rn):
                i = obj.search(rn)
                del ls[i]

        
        def update(self, rn, No):
                i = obj.search(rn)
                roll = No
                ls[i].rollno = roll



ls = []

obj = Student('', 0, 0, 0)

print(""\nOperations used, "")
print(""\n1.Accept Student details\n2.Display Student Details\n3.Search Details of a Student\n4.Delete Details of Student\n5.Update Student Details\n6.Exit"")



obj.accept(""A"", 1, 100, 100)
obj.accept(""B"", 2, 90, 90)
obj.accept(""C"", 3, 80, 80)


print(""\n"")
print(""\nList of Students\n"")
for i in range(ls.__len__()):
        obj.display(ls[i])


print(""\n Student Found, "")
s = obj.search(2)
obj.display(ls[s])


obj.delete(2)
print(ls.__len__())
print(""List after deletion"")
for i in range(ls.__len__()):
        obj.display(ls[i])


obj.update(3, 2)
print(ls.__len__())
print(""List after updation"")
for i in range(ls.__len__()):
        obj.display(ls[i])


print(""Thank You !"")
",J,J,J,J,J,J,J,J,J,J,J,J
8,"Write a function called <code>my_sum</code>.
The function is passed a single string with terms
separated by spaces.</br>
The string contains both names and integer values
in arbitrary order.</br>
Find the sum of all the numbers in the string.
<br/>
For example:
<pre>
>>> my_sum('1 fox, 2 dogs and 3 jackals')
6
>>> my_sum('3 blind mice and 1 man')
4
</pre><br>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/U-7j9X2n8rU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","
def my_sum(s):
    # Split the string into words
    words = s.split()
    
    # Initialize a variable to hold the sum of numbers
    total = 0
    
    # Loop through the words and check if they are digits
    for word in words:
        # Remove any non-numeric characters and check if the remaining is a digit
        cleaned_word = ''.join(c for c in word if c.isdigit())
        
        if cleaned_word:  # If the cleaned word is not empty, it's a number
            total += int(cleaned_word)
    
    return total

# Test cases
print(my_sum('1 fox, 2 dogs and 3 jackals'))  # Output: 6
print(my_sum('3 blind mice and 1 man'))  # Output: 4



",N,N,N,N,D,D,D,D,D,D,N,N
9,"Write a python script that accepts an integer <b>n</b> as input (where n >= 1)
<br>The script should print the first <b>n</b> numbers of the <b>fibonacci sequence<b>
<br><br>
For example:
<pre>
Input:
4
Output:
0
1
1
2
</pre>","
def recur_fibo(n):
   """"""Recursive function to
   print Fibonacci sequence""""""
   if n <= 1:
       return n
    #else:
       return(recur_fibo(n-1) + recur_fibo(n-2))

# Change this value for a different result
nterms = 4

# uncomment to take input from the user
#nterms = int(input(""How many terms? ""))

# check if the number of terms is valid
if nterms <= 0:
   print(""Plese enter a positive integer"")
else:
   print("" "")
   for i in range(nterms):
       print(recur_fibo(i))",A,F,F,F,J,G,J,J,D,D,F,N
10,Find the first number in the Fibonacci sequence that is <b>divisible by 4</b> but <b>more than 8</b> and <b>less than 500.</b>,"
def recur_fibo(n):
   """"""Recursive function to
   print Fibonacci sequence""""""
   if n <= 500:
       return n
   else:
       return(recur_fibo(n-1) + recur_fibo(n-2))

# Change this value for a different result
nterms = 0

# uncomment to take input from the user
#nterms = int(input(""How many terms? ""))

# check if the number of terms is valid
if nterms <= 0:
   print(""Plese enter a positive integer"")
else:
   print(""Fibonacci sequence:"")
   for i in range(nterms):
       print(recur_fibo(i))",J,J,J,J,J,J,J,J,J,J,D,D
